state,admin1_pcode,township,admin3_pcode,total_population_2021proj,food_security_pin_2022,food_security_target_2022,beneficiaries_2022,partners_2022
Ayeyarwady,MMR017,Hinthada,MMR017008,338333.0329836413,102515,13327.061831061234,NA,NA
Ayeyarwady,MMR017,Zalun,MMR017009,168152.32215033146,50950,6624.480065287993,996,1
Ayeyarwady,MMR017,Lemyethna,MMR017010,102992.95991876331,31207,4057.107311638337,NA,NA
Ayeyarwady,MMR017,Myanaung,MMR017011,218515.143772356,66210,8606.688498081088,NA,NA
Ayeyarwady,MMR017,Kyangin,MMR017012,96054.05117132452,29104,3784.430973441061,NA,NA
Ayeyarwady,MMR017,Ingapu,MMR017013,214319.40828568256,64939,8441.9585078309,NA,NA
Ayeyarwady,MMR017,Labutta,MMR017016,315123.0280291265,95482,12413.303933374356,4500,1
Ayeyarwady,MMR017,Mawlamyinegyun,MMR017018,311246.19643100415,94308,12260.01232259513,5500,1
Ayeyarwady,MMR017,Maubin,MMR017019,313998.3669801612,95142,12367.604337309436,945,1
Ayeyarwady,MMR017,Pantanaw,MMR017020,264516.27992181526,80148,10418.703742303838,NA,NA
Ayeyarwady,MMR017,Nyaungdon,MMR017021,215840.9497225939,65400,8502.024990500482,NA,NA
Ayeyarwady,MMR017,Danubyu,MMR017022,179298.96276896607,54328,7063.413880781774,NA,NA
Ayeyarwady,MMR017,Myaungmya,MMR017014,298547.0237154422,90460,11760.23274045477,NA,NA
Ayeyarwady,MMR017,Einme,MMR017015,194042.51934686952,58795,7642.66517759526,NA,NA
Ayeyarwady,MMR017,Wakema,MMR017017,289018.8953086076,87573,11383.545731921822,NA,NA
Ayeyarwady,MMR017,Pathein,MMR017001,380870.2131022873,115404,15001.522321111168,NA,NA
Ayeyarwady,MMR017,Kangyidaunt,MMR017002,177936.37342697513,53915,7009.08625177284,NA,NA
Ayeyarwady,MMR017,Thabaung,MMR017003,154353.48085355895,46769,6080.016389222492,NA,NA
Ayeyarwady,MMR017,Ngapudaw,MMR017004,324381.2377842096,98288,12776.623054800892,NA,NA
Ayeyarwady,MMR017,Kyonpyaw,MMR017005,235655.97785729857,71404,9281.51105795806,NA,NA
Ayeyarwady,MMR017,Yegyi,MMR017006,194041.51964815924,58795,7642.704552480257,NA,NA
Ayeyarwady,MMR017,Kyaunggon,MMR017007,162985.87921606208,49385,6419.986217708902,NA,NA
Ayeyarwady,MMR017,Pyapon,MMR017023,314027.3582427568,95150,12370.46237610024,NA,NA
Ayeyarwady,MMR017,Bogale,MMR017024,322567.78432392236,97738,12706.054975718567,6000,1
Ayeyarwady,MMR017,Kyaiklat,MMR017025,193281.7486284138,58564,7612.631939322028,NA,NA
Ayeyarwady,MMR017,Dedaye,MMR017026,202864.86046430896,61468,7991.1531492459535,NA,NA
Bago (East),MMR111,Bago,MMR007001,498305.6738756886,117102,17564.725000187475,NA,NA
Bago (East),MMR111,Thanatpin,MMR007002,147318.53400533367,34620,3462.014450934979,2403,1
Bago (East),MMR111,Kawa,MMR007003,200122.7076537796,47029,7053.674570218364,2456,1
Bago (East),MMR111,Waw,MMR007004,178475.18666098692,41942,4193.833120107248,3758,1
Bago (East),MMR111,Nyaunglebin,MMR007005,202272.3514078065,47534,4752.599775620112,NA,NA
Bago (East),MMR111,Kyauktaga,MMR007006,254724.6729889659,59860,8978.955277361709,NA,NA
Bago (East),MMR111,Daik-U,MMR007007,205361.95731276876,48260,7238.99100473608,NA,NA
Bago (East),MMR111,Shwegyin,MMR007008,108964.63070530172,25607,2561.331221257637,5869,1
Bago (East),MMR111,Taungoo,MMR007009,265720.30358739407,62444,6243.572894913285,NA,NA
Bago (East),MMR111,Yedashe,MMR007010,216579.6501669196,50896,5090.3782491838365,NA,NA
Bago (East),MMR111,Kyaukkyi,MMR007011,114913.6683962809,28928,8000,64,1
Bago (East),MMR111,Phyu,MMR007012,260870.42336309663,61305,6129.545084729588,NA,NA
Bago (East),MMR111,Oktwin,MMR007013,162062.85939557207,38085,3807.522863995888,NA,NA
Bago (East),MMR111,Htantabin,MMR007014,118915.85891380176,27945,2795.477397053038,24,1
Bago (West),MMR111,Pyay,MMR008001,255161.6996200912,59963,5995.700073931217,NA,NA
Bago (West),MMR111,Paukkhaung,MMR008002,126601.8493173508,29751,2974.856547959728,NA,NA
Bago (West),MMR111,Padaung,MMR008003,146230.53035058329,34364,3435.5825874756074,NA,NA
Bago (West),MMR111,Paungde,MMR008004,139484.50209796958,32779,3278.114204676438,NA,NA
Bago (West),MMR111,Thegon,MMR008005,132788.15900759524,31205,3121.478336622012,NA,NA
Bago (West),MMR111,Shwedaung,MMR008006,123372.31377179622,28992,2898.750647812207,NA,NA
Bago (West),MMR111,Thayarwady,MMR008007,153216.87255117073,36006,3601.403540264511,NA,NA
Bago (West),MMR111,Letpadan,MMR008008,179887.66484464705,42274,4226.639906829322,NA,NA
Bago (West),MMR111,Minhla,MMR008009,124203.77975212738,29188,2919.2111911036827,NA,NA
Bago (West),MMR111,Okpho,MMR008010,128433.10243988504,30182,3017.822103149499,NA,NA
Bago (West),MMR111,Zigon,MMR008011,68467.1675486599,16090,1609.021562895462,NA,NA
Bago (West),MMR111,Nattalin,MMR008012,174548.03087827645,41019,4102.121277946048,NA,NA
Bago (West),MMR111,Monyo,MMR008013,129353.79891566635,30398,3040.1857368292294,NA,NA
Bago (West),MMR111,Gyobingauk,MMR008014,119075.0542295481,27983,2797.7362504699418,NA,NA
Chin,MMR004,Falam,MMR004001,51831.49727101556,30827,7707.251138876627,783,1
Chin,MMR004,Tedim,MMR004004,94465.77959061916,52712,13178.02374715142,NA,NA
Chin,MMR004,Tonzang,MMR004005,34367.46198817385,19177,5000,NA,NA
Chin,MMR004,Hakha,MMR004002,52127.97296104466,29200,20000,1571,2
Chin,MMR004,Thantlang,MMR004003,54307.87785282231,30920,7730.014039556785,1102,1
Chin,MMR004,Matupi,MMR004007,55361.17512248934,30892,7723.116072157207,NA,NA
Chin,MMR004,Paletwa,MMR004009,104632.20052507172,62734,40000,16389,2
Chin,MMR004,Mindat,MMR004006,45926.77961905409,27757,20000,4131,1
Chin,MMR004,Kanpetlet,MMR004008,23171.461839256557,13461,5000,NA,NA
Kachin,MMR001,Bhamo,MMR001010,154328.6819752977,47502,11875.51480958475,17199,7
Kachin,MMR001,Shwegu,MMR001011,107655.37796938862,30515,7629.27225272046,813,2
Kachin,MMR001,Momauk,MMR001012,71457.52921976405,37244,9310.76634196921,29745,7
Kachin,MMR001,Mansi,MMR001013,60134.76943987677,26268,6567.154605327822,22930,7
Kachin,MMR001,Mohnyin,MMR001007,237713.2149515665,62570,15642.46040479048,455,1
Kachin,MMR001,Mogaung,MMR001008,150615.76175055586,40665,10166.563581145812,3810,4
Kachin,MMR001,Hpakant,MMR001009,376752.9342027131,101926,25481.447300020223,5133,2
Kachin,MMR001,Myitkyina,MMR001001,360733.65404065774,103166,25791.498650643873,17121,6
Kachin,MMR001,Waingmaw,MMR001002,142592.4921061458,57138,14284.40725014808,33541,8
Kachin,MMR001,Injangyang,MMR001003,1967.200314852518,933,232.7217121528395,NA,NA
Kachin,MMR001,Tanai,MMR001004,68169.3970537721,18789,4696.98799300862,1177,1
Kachin,MMR001,Chipwi,MMR001005,22760.235051575983,7969,1991.5492061604696,4439,2
Kachin,MMR001,Tsawlaw,MMR001006,7403.124510513114,1940,0,NA,NA
Kachin,MMR001,Puta-O,MMR001014,69368.79863141889,18542,4636.462735824779,934,2
Kachin,MMR001,Sumprabum,MMR001015,2891.7390309552607,1646,410.6379127492752,NA,NA
Kachin,MMR001,Machanbaw,MMR001016,10060.889370071363,2636,659.011746469699,NA,NA
Kachin,MMR001,Nawngmun,MMR001017,8090.28166437326,2120,0,NA,NA
Kachin,MMR001,Khaunglanhpu,MMR001018,13237.713435107447,3468,866.9297756888743,NA,NA
Kayah,MMR002,Bawlake,MMR002005,12712.895004683189,4844,1000,NA,NA
Kayah,MMR002,Hpasawng,MMR002006,29590.199595294787,11348,8000,NA,NA
Kayah,MMR002,Mese,MMR002007,7305.63691656903,2982,900,1260,1
Kayah,MMR002,Loikaw,MMR002001,148449.29351548982,69687,25000,108288,3
Kayah,MMR002,Demoso,MMR002002,91567.29695033768,67077,25000,24820,5
Kayah,MMR002,Hpruso,MMR002003,33960.40177042233,17007,4000,34064,3
Kayah,MMR002,Shadaw,MMR002004,7794.683350452351,2970,500,2003,1
Kayin,MMR003,Hpa-An,MMR003001,437422.79044545017,134831,15000,4466,1
Kayin,MMR003,Hlaingbwe,MMR003002,275878.0378153535,90664,15000,9891,5
Kayin,MMR003,Thandaunggyi,MMR003004,99662.77380742782,32704,7000,11202,3
Kayin,MMR003,Hpapun,MMR003003,36403.91058003586,36403.91058003586,44320.23954264364,42038,5
Kayin,MMR003,Kawkareik,MMR003006,228625.06669591743,70417,5000,7590,5
Kayin,MMR003,Kyainseikgyi,MMR003007,264429.2491780408,81444,5000,2741,3
Kayin,MMR003,Myawaddy,MMR003005,218454.5912361622,67353,5000,24184,3
Magway,MMR009,Gangaw,MMR009023,132523.7540308305,32767,3277.25118460458,NA,NA
Magway,MMR009,Tilin,MMR009024,48583.26092104402,10202,1019.7515811746896,NA,NA
Magway,MMR009,Saw,MMR009025,68299.51859151479,18217,1822.2941570614,NA,NA
Magway,MMR009,Magway,MMR009001,287573.41447282815,60390,6038.958296358604,16833,2
Magway,MMR009,Yenangyaung,MMR009002,133450.36147114506,28025,2801.542483822312,12191,3
Magway,MMR009,Chauk,MMR009003,184117.4949189052,38665,3865.532663203272,10137,3
Magway,MMR009,Taungdwingyi,MMR009004,258356.4478971576,54255,5424.514637587847,NA,NA
Magway,MMR009,Myothit,MMR009005,158588.06803864965,33303,3329.6506078513253,12495,2
Magway,MMR009,Natmauk,MMR009006,205798.31943708163,43218,4322.2353046313865,42,1
Magway,MMR009,Minbu,MMR009007,187093.17739622455,39290,3929.043275155924,12884,2
Magway,MMR009,Pwintbyu,MMR009008,162744.87673817252,34176,3418.3576259129213,NA,NA
Magway,MMR009,Ngape,MMR009009,51840.30595802967,10886,1089.353689716822,NA,NA
Magway,MMR009,Salin,MMR009010,234667.31111563844,49280,4927.986466608758,40,1
Magway,MMR009,Sidoktaya,MMR009011,47251.014172093855,9923,991.728776561706,NA,NA
Magway,MMR009,Pakokku,MMR009018,288460.2533534726,60577,6058.334698067766,46,1
Magway,MMR009,Yesagyo,MMR009019,214105.97155217687,44962,4495.77460870406,NA,NA
Magway,MMR009,Myaing,MMR009020,224464.6871322603,47138,4714.241582602502,NA,NA
Magway,MMR009,Pauk,MMR009021,170521.6185816712,35810,3581.04601037606,NA,NA
Magway,MMR009,Seikphyu,MMR009022,102174.37771855226,21457,2146.3381211759756,2243,1
Magway,MMR009,Thayet,MMR009012,103743.24739753985,21786,2179.391875114487,NA,NA
Magway,MMR009,Minhla,MMR009013,145236.76834338708,30500,3050.027865043446,NA,NA
Magway,MMR009,Mindon,MMR009014,59013.55990853376,12393,1238.7153073514055,NA,NA
Magway,MMR009,Kamma,MMR009015,74759.92110993135,15700,1570.0416577967449,NA,NA
Magway,MMR009,Aunglan,MMR009016,233861.003568326,49111,4910.918926403586,NA,NA
Magway,MMR009,Sinbaungwe,MMR009017,117162.15364424168,24604,2459.59484021137,NA,NA
Mandalay,MMR010,Kyaukse,MMR010013,274709.3466889205,32416,3242.429766033835,NA,NA
Mandalay,MMR010,Sintgaing,MMR010014,158619.83773306131,18717,1872.2859584249468,NA,NA
Mandalay,MMR010,Myittha,MMR010015,208374.00606965617,24588,2459.186742558674,NA,NA
Mandalay,MMR010,Tada-U,MMR010016,147647.73934006476,17422,1741.7567097702458,NA,NA
Mandalay,MMR010,Aungmyaythazan,MMR010001,283094.198504246,33405,3341.4885290733523,NA,NA
Mandalay,MMR010,Chanayethazan,MMR010002,210020.72620513552,24782,2477.755454915075,NA,NA
Mandalay,MMR010,Mahaaungmyay,MMR010003,256821.2367566823,30305,3029.509485691361,NA,NA
Mandalay,MMR010,Chanmyathazi,MMR010004,302269.0082577384,35668,3567.225716840961,NA,NA
Mandalay,MMR010,Pyigyitagon,MMR010005,253183.75340437837,29876,2988.4317722113033,87,1
Mandalay,MMR010,Amarapura,MMR010006,253098.54149568605,29866,2987.437274355215,403,1
Mandalay,MMR010,Patheingyi,MMR010007,280906.3827485704,33147,3315.3047115730856,NA,NA
Mandalay,MMR010,Meiktila,MMR010028,329837.1910174255,38921,3891.921147591971,40,1
Mandalay,MMR010,Mahlaing,MMR010029,148510.50991557463,17524,1751.5760855914916,188,1
Mandalay,MMR010,Thazi,MMR010030,215884.3706720267,25474,2546.564500546806,40,1
Mandalay,MMR010,Wundwin,MMR010031,244728.60176438157,28878,2888.202513380018,229,1
Mandalay,MMR010,Myingyan,MMR010017,294083.33927898115,34702,3469.816606201124,46090,2
Mandalay,MMR010,Taungtha,MMR010018,230755.97903655615,27229,2723.079449686694,45,1
Mandalay,MMR010,Natogyi,MMR010019,188614.4295927627,22257,2226.349785760861,NA,NA
Mandalay,MMR010,Ngazun,MMR010021,132326.63815718322,15615,1560.545801939934,NA,NA
Mandalay,MMR010,Kyaukpadaung,MMR010020,278971.0072723958,32919,3292.1421203210016,NA,NA
Mandalay,MMR010,Nyaung-U,MMR010022,255579.2731874916,30158,3016.1645853686555,71547,2
Mandalay,MMR010,Pyinoolwin,MMR010008,272154.0545770091,32114,3210.5822103578134,NA,NA
Mandalay,MMR010,Madaya,MMR010009,274809.470681634,32428,3243.2482649609665,NA,NA
Mandalay,MMR010,Singu,MMR010010,167851.48289101702,19806,1981.3525646218368,NA,NA
Mandalay,MMR010,Mogoke,MMR010011,178038.56657518548,21009,2101.1449244088303,NA,NA
Mandalay,MMR010,Thabeikkyin,MMR010012,174366.9984594045,20575,2058.469525275091,NA,NA
Mandalay,MMR010,Yamethin,MMR010023,274905.3340789128,32439,3244.117062092947,NA,NA
Mandalay,MMR010,Pyawbwe,MMR010024,277250.79186566925,32716,3272.4407153383586,NA,NA
Mon,MMR011,Mawlamyine,MMR011001,278680.7196406106,44000.17344512815,0,2737,2
Mon,MMR011,Kyaikmaraw,MMR011002,188565.08118107164,24000.13167079307,0,2570,1
Mon,MMR011,Chaungzon,MMR011003,117607.3699214522,12000.006948041786,0,7181,1
Mon,MMR011,Thanbyuzayat,MMR011004,164226.21257492076,23000.148475104623,0,NA,NA
Mon,MMR011,Mudon,MMR011005,183679.78085508436,27000.299476739117,0,1793,1
Mon,MMR011,Ye,MMR011006,253869.98090638287,61437,10000,1680,2
Mon,MMR011,Thaton,MMR011007,229296.140236455,55490,10000,4133,1
Mon,MMR011,Paung,MMR011008,210376.07410109657,34003.99336600171,0,5148,2
Mon,MMR011,Kyaikto,MMR011009,177704.36423321342,43004,10000,8284,1
Mon,MMR011,Bilin,MMR011010,174375.27232961828,43029,5000,17592,2
Nay Pyi Taw,MMR018,Za Bu Thi Ri,MMR018002,123719.9083172146,0,0,NA,NA
Nay Pyi Taw,MMR018,Det Khi Na Thi Ri,MMR018004,57490.06829779366,0,0,NA,NA
Nay Pyi Taw,MMR018,Pyinmana,MMR018006,210082.69677906152,0,0,NA,NA
Nay Pyi Taw,MMR018,Lewe,MMR018007,318535.16586296825,0,0,NA,NA
Nay Pyi Taw,MMR018,Zay Yar Thi Ri,MMR018001,124654.0323228326,0,0,NA,NA
Nay Pyi Taw,MMR018,Tatkon,MMR018003,243155.61481010212,0,0,NA,NA
Nay Pyi Taw,MMR018,Poke Ba Thi Ri,MMR018005,130476.06659285932,0,0,NA,NA
